provider_code,name,nit,nature,care_level,manager,address,email,phone,sk_geografia,sk_facility
504512253,URAMEDICOS S.A.S.,900497151,Privada,,CLAUDIA CECILIA TRUJILLO GOMEZ,KR 98 # 103-29/37,uramedicos@gmail.com,8286090,1130,1
564204576,ESE HOSPITAL SAN JOSE,890981424,Pública,1.0,CESAR AUGUSTO PARDO ROSAS,CL 32A # 33-04,secretaria@hsjsalgar.gov.co,8442020,1131,2
9100100019,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,Pública,2.0,SAIDA VIVIANA HERREÑO PRIETO,CORREGIMIENTO DEL ENCANTO,sanrafael@esehospitalsanrafael-leticia-amazonas.gov.co,3203016139,1132,3
9100100019,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,Pública,2.0,SAIDA VIVIANA HERREÑO PRIETO,CORREGIMIENTO DE LA CHORRERA,chorrera@esehospitalsanrafael-leticia-amazonas.gov.co,3203016132,1133,4
9100100019,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,Pública,2.0,SAIDA VIVIANA HERREÑO PRIETO,CRA 10 # 13-78,calidad@esehospitalsanrafael-leticia-amazonas.gov.co,,1134,5
9100100019,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,Pública,2.0,SAIDA VIVIANA HERREÑO PRIETO,CORREGIMIENTO DE LA PEDRERA,pedrera@esehospitalsanrafael-leticia-amazonas.gov.co,3203014882,1135,6
9100100019,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,Pública,2.0,SAIDA VIVIANA HERREÑO PRIETO,LA VICTORIA,hsanrafael1@yahoo.com,985227075,1136,7
9100100069,FUNDACION CLINICA LETICIA,900142282,Privada,,JAVIER HERNÁN GUTIERREZ CAMACHO,AVENIDA INTERNACIONAL No 6-05,gerencia@fundacionclinicaleticia.com.co,59,1134,8
9100100088,LABORATORIO DE CLINICA HUMANA GOMEZ VASQUEZ EU,900243862,Privada,,GLORIA VIRGINIA LOPEZ DE RAMIREZ,CALLE 8 No. 9-99,laboratorioclinicahumanagv@hotmail.com,5927183,1134,9
9100100141,RAFAEL BUSTAMANTE Y CIA LTDA,830142044,Privada,,RAFAEL IGNACIO BUSTAMANTE URZOLA,CARRERA 10 No. 12-99,rafaignacio2000@yahoo.es,3125422361,1134,10
9100100144,"INSTITUTO PARA LA PREVENCIÓN, EL TRATAMIENTO Y REHABILITACIÓN DE LAS ENFERMEDADES INMUNOSUPRESORAS SAS - RENACERA",900275974,Privada,,ROBERTO CARDENAS ROJAS,CARRERA 4 No.  1 - 55,renaceraipsas@gmail.com,5925096,1134,11
9100100158,IMPROVE QUALITY REDUCE COST SAVE LIFES AUDITORES SAS (QCL AUDITORES SAS),900784482,Privada,,MANUEL ENRIQUE VERA RUEDA,CRA. 6 No. 8 - 76,servisaludqcl@gmail.com,3104769842,1134,12
9100100161,IPS NUEVO AMAZONAS S.A.S,901014934,Privada,,JHONY FERNEY PINTO SERAFÍN,CRA. 10 # 14-07 ED XAMMARA LC 2,ipsnuevoamazonassas@gmail.com,3014658293,1134,13
9100100168,IPS INDÍGENA MALLAMAS,837000084,Pública,1.0,JAIRO ANDRES RECALDE CUATIN,CRA 9 No.9-67,leticiacalidad@ipsmallamas.com,5925324,1134,14
9100100178,Inversiones Portilla SAS,901179619,Privada,,Adriana Victoria Portilla Ducuara,Carrera 9 No 11 - 39,nanaportilla66@hotmail.com,3153635191,1134,15
9100100185,FREYA SKIN AND BODY CARE S.A.S TWO,901438650,Privada,,VICTORIA ALEJANDRA TORRES BARRETO,CARRERA 8A No. 8-56,freya.skinandbodycare@gmail.com,3186435065,1134,16
9100100189,NORDVITAL IPS S.A.S.,900758573,Privada,,NOHORA RAMOS MARQUEZ,Calle 12 8-55,calidad@nordvitalips.com,3178189073,1134,17
9100100196,CLINICA MEISEL S.A.S,844002258,Privada,,CIRO ALFONSO GOMEZ MEISEL,Calle 3 a 8 a - 56,cardiollanoscalidad@gmail.com,3143936114,1134,18
9100100201,UNIDAD RENAL DE LA AMAZONIA SAS,901536446,Privada,,NUBIA YANETH MONTOYA BLANCO,Calle 4 # 5-50,unidadrenalamazonia@gmail.com,3108159757,1134,19
9100100019,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,Pública,2.0,SAIDA VIVIANA HERREÑO PRIETO,CORREGIMIENTO DE MIRITÍ,miriti.ese@esehospitalsanrafael-leticia-amazonas.gov.co,3203014921,1137,20
9100100019,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,Pública,2.0,SAIDA VIVIANA HERREÑO PRIETO,CORREGIMIENTO DE PUERTO ALEGRÍA,gerencia@esehospitalsanrafael-leticia-amazonas.gov.co,3203016139,1138,21
9100100019,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,Pública,2.0,SAIDA VIVIANA HERREÑO PRIETO,CORREGIMIENTO DE PUERTO ARICA,arica@esehospitalsanrafael-leticia-amazonas.gov.co,3203014865,1139,22
9100100019,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,Pública,2.0,SAIDA VIVIANA HERREÑO PRIETO,PUERTO NARINO,puertonarino@esehospitalsanrafael-leticia-amazonas.gov.co,3212141427,1140,23
503004374,ESE HOSPITAL  SAN  FERNANDO,890906346,Pública,1.0,ALEJANDRO CADAVID CADAVID,KR 52 # 51-82,hospital@eseamaga-antioquia.gov.co,8472926,1141,24
9100100019,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,Pública,2.0,SAIDA VIVIANA HERREÑO PRIETO,CORREGIMIENTO DE PUERTO SANTANDER,puertosantander@esehospitalsanrafael-leticia-amazonas.gov.co,3203014896,1142,25
9100100019,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,Pública,2.0,SAIDA VIVIANA HERREÑO PRIETO,CORREGIMIENTO DE TARAPACÁ,tarapaca@esehospitalsanrafael-leticia-amazonas.gov.co,3203014908,1143,26
500204360,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,890980643,Pública,1.0,GABRIEL JAIME BETANCUR DUQUE,CL Circular x KR Calibío,esehsjda.subgerencia@gmail.com,8647181,1144,27
504205478,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,890982264,Pública,2.0,CLAUDIA MARIA CALDERON RUEDA,CL 9 A # 12-59,info@esehospitalsantafedeantioquia.gov.co,8520001,1145,28
502105098,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,800029509,Pública,1.0,Diver Arley Lopera Castaño,KR 19 # 16-70 SANTANDER,hospitalalejandria@gmail.com,8660077,1146,29
500105568,CAJA DE COMPENSACION FAMILIAR DE ANTIOQUIA COMFAMA,890900841,Privada,,Marco Antonio Tobon Perez,"Carrera 51 N° 51 - 33,",MarcoTobon@comfama.com.co,3607080,1141,30
500109099,PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA SA,900038926,Privada,,WILFER SANTIAGO GIRALDO GIRALDO,Calle 50 No. 51-47,wgiraldo@promedan.com.co,8471268,1141,31
503102091,E.S.E HOSPITAL EL CARMEN,890982101,Pública,1.0,LICINIA DEL CARMEN RAVE BERMUDEZ,CL 23 # 23 - 40 COLOMBIA,hospitalamalfi@gmail.com,5748301803,1147,32
500105568,CAJA DE COMPENSACION FAMILIAR DE ANTIOQUIA COMFAMA,890900841,Privada,,Marco Antonio Tobon Perez,Carrera 51 Nro. 48-40,MarcoTobon@comfama.com.co,3607080,1148,33
503404432,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,890980814,Pública,1.0,CARLOS ALBERTO ARROYAVE ZULUAGA,AV MEDELLIN # 48-20,gestiondocumental@hospitaldeandes.gov.co,8417120,1148,34
800100278,CLINICA DE LA COSTA S.A.S.,800129856,Privada,,GUSTAVO JOSÉ AROCA MARTINEZ,CARRERA 50 # 80-90,,,1149,35
503605108,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,890980959,Pública,1.0,MARIA ESTELA ACUÑA TERAN,CL 8 # 7-108 CALLE HOSPITAL,gerencia.es@eselamisericordia-angelopolis-antioquia.gov.co,5748421146,1150,36
503801538,ESE HOSPITAL SAN RAFAEL,890982183,Pública,1.0,JAVIER ENRIQUE ARTEAGA JIMENEZ,Kr 10 # 16-1 UNICO,angohs01@edatel.net.co,5748645099,1151,37
504003261,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,890982138,Pública,1.0,OSCAR HUMBERTO CARDONA  QUINTERO,CL ZEA Centro,anorhs@hospitalanori.gov.co,8350803,1152,38
504405014,ESE HOSPITAL SAN FRANCISCO DE ASIS,890397282,Pública,1.0,CARLOS ENRIQUE TORRES MARIN,KR 8 # 7-29,hospitalanza@hospitalanza.gov.co  -  gerencia@hospitalanza-antioquia.gov.co,8522029,1153,39
500100012,INSTITUTO DEL CORAZON S.A.S,800107179,Privada,,CAROLINA MESA URHAN,Carrera 98 # 103 - 89 Piso 3 Local 2,gerencia@institutodelcorazon.org.co,3108453852,1130,40
500101150,FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA,890981374,Privada,,Rafael Hernán Moreno Salazar,Calle  103 Nro 97-98 Barrio Chinita Apartadó,coordinacionuraba@neurologico.org.co,8280950,1130,41
500101615,ORGANIZACION SANTA LUCIA S A,890900650,Privada,,GLORIA M. ESTRADA RESTREPO,KR 99 # 84 - 18 INT/LOCAL 38 CC NUESTRO URABA,gestioncalidad@osl.com.co,4,1130,42
500103865,UNIDAD VISUAL GLOBAL S A,811017919,Privada,,MARY ZAIDA CENDALES SANTANA,CL 103 # 97 - 98 LC 102,unidadvisual@une.net.co,8284046,1130,43
500104207,RTS S.A.S,805011262,Privada,,Nadin Hernando Otero Otero,CL 102 98-28/30 Segundo Piso Clinica Chinita,nadin_hernando_otero_otero@baxter.com,57,1130,44
500104830,CARDIOESTUDIO SAS,800158328,Privada,,Luz Stella Ortiz Franco,CL 107 A # 99E-05,luz.ortiz@cardioestudio.com,5748282745,1130,45
500104917,ASOCIACIÓN PROFAMILIA,860013779,Privada,,Maribell Herrera Sepulveda,Calle 100 N° 97-10,apartado.admin@profamilia.org.co,8280771,1130,46
