codigo_dane_municipio,municipio,codigo_dane_depto,departamento,region,capital,surface,population,municipalities_count,phone_prefix,region_api,sk_geografia
15293,GACHANTIVA,15,BOYACA,Andina,Tunja,23189,1259601,123,8,Andina,1
23350,LA APARTADA,23,CORDOBA,Caribe,Montería,25020,1856496,30,4,Caribe,2
15681,SAN PABLO DE BORBUR,15,BOYACA,Andina,Tunja,23189,1259601,123,8,Andina,3
68207,CONCEPCION,68,SANTANDER,Andina,Bucaramanga,30537,2324090,87,7,Andina,4
68820,TONA,68,SANTANDER,Andina,Bucaramanga,30537,2324090,87,7,Andina,5
20570,PUEBLO BELLO,20,CESAR,Caribe,Valledupar,22905,1341697,25,4,Caribe,6
68895,ZAPATOCA,68,SANTANDER,Andina,Bucaramanga,30537,2324090,87,7,Andina,7
70717,SAN PEDRO,70,SUCRE,Caribe,Sincelejo,10917,972350,26,5,Caribe,8
05887,YARUMAL,05,ANTIOQUIA,Andina,Medellín,63612,6887306,125,4,Andina,9
05038,ANGOSTURA,05,ANTIOQUIA,Andina,Medellín,63612,6887306,125,4,Andina,10
47161,CERRO SAN ANTONIO,47,MAGDALENA,Caribe,Santa Marta,23188,1463427,30,5,Caribe,11
25599,APULO (RAFAEL REYES),25,CUNDINAMARCA,Andina,Bogotá D.C.,23071,2473634,116,1,Andina,12
20045,BECERRIL,20,CESAR,Caribe,Valledupar,22905,1341697,25,4,Caribe,13
73026,ALVARADO,73,TOLIMA,Andina,Ibagué,23562,1346935,47,8,Andina,14
52694,SAN PEDRO DE CARTAGO,52,NARINO,Pacifico,Pasto,33268,1629181,64,2,Pacífico,15
13670,SAN PABLO,13,BOLIVAR,Caribe,Cartagena,25978,2236603,45,5,Caribe,16
15464,MONGUA,15,BOYACA,Andina,Tunja,23189,1259601,123,8,Andina,17
05197,COCORNA,05,ANTIOQUIA,Andina,Medellín,63612,6887306,125,4,Andina,18
19256,EL TAMBO,19,CAUCA,Pacifico,Popayán,29308,1516018,41,2,Pacífico,19
25168,CHAGUANI,25,CUNDINAMARCA,Andina,Bogotá D.C.,23071,2473634,116,1,Andina,20
68468,MOLAGAVITA,68,SANTANDER,Andina,Bucaramanga,30537,2324090,87,7,Andina,21
05604,REMEDIOS,05,ANTIOQUIA,Andina,Medellín,63612,6887306,125,4,Andina,22
50150,CASTILLA LA NUEVA,50,META,Orinoquia,Villavicencio,85635,1080706,29,8,Orinoquía,23
13490,NOROSI,13,BOLIVAR,Caribe,Cartagena,25978,2236603,45,5,Caribe,24
17662,SAMANA,17,CALDAS,Andina,Manizales,7888,1036455,27,6,Andina,25
20550,PELAYA,20,CESAR,Caribe,Valledupar,22905,1341697,25,4,Caribe,26
15542,PESCA,15,BOYACA,Andina,Tunja,23189,1259601,123,8,Andina,27
54498,OCANA,54,NORTE DE SANTANDER,Orinoquia,Cúcuta,21658,1651278,40,7,Andina,28
54109,BUCARASICA,54,NORTE DE SANTANDER,Orinoquia,Cúcuta,21658,1651278,40,7,Andina,29
97889,YAVARATE (CD.),97,VAUPES,Amazonia,Mitú,54135,48932,3,8,Amazonía,30
41016,AIPE,41,HUILA,Andina,Neiva,19890,1140932,37,8,Andina,31
68773,SUCRE,68,SANTANDER,Andina,Bucaramanga,30537,2324090,87,7,Andina,32
25736,SESQUILE,25,CUNDINAMARCA,Andina,Bogotá D.C.,23071,2473634,116,1,Andina,33
81794,TAME,81,ARAUCA,Orinoquia,Arauca,23818,304978,7,7,Orinoquía,34
05467,MONTEBELLO,05,ANTIOQUIA,Andina,Medellín,63612,6887306,125,4,Andina,35
52233,CUMBITARA,52,NARINO,Pacifico,Pasto,33268,1629181,64,2,Pacífico,36
25120,CABRERA,25,CUNDINAMARCA,Andina,Bogotá D.C.,23071,2473634,116,1,Andina,37
81065,ARAUQUITA,81,ARAUCA,Orinoquia,Arauca,23818,304978,7,7,Orinoquía,38
13458,MONTECRISTO,13,BOLIVAR,Caribe,Cartagena,25978,2236603,45,5,Caribe,39
52585,PUPIALES,52,NARINO,Pacifico,Pasto,33268,1629181,64,2,Pacífico,40
15172,CHINAVITA,15,BOYACA,Andina,Tunja,23189,1259601,123,8,Andina,41
76845,ULLOA,76,VALLE DEL CAUCA,Pacifico,Cali,22140,4589278,42,2,Pacífico,42
50251,EL CASTILLO,50,META,Orinoquia,Villavicencio,85635,1080706,29,8,Orinoquía,43
50223,CUBARRAL,50,META,Orinoquia,Villavicencio,85635,1080706,29,8,Orinoquía,44
66572,PUEBLO RICO,66,RISARALDA,Andina,Pereira,4140,977829,14,6,Andina,45
41013,AGRADO,41,HUILA,Andina,Neiva,19890,1140932,37,8,Andina,46
76670,SAN PEDRO,76,VALLE DEL CAUCA,Pacifico,Cali,22140,4589278,42,2,Pacífico,47
73030,AMBALEMA,73,TOLIMA,Andina,Ibagué,23562,1346935,47,8,Andina,48
50568,PUERTO GAITAN,50,META,Orinoquia,Villavicencio,85635,1080706,29,8,Orinoquía,49
25317,GUACHETA,25,CUNDINAMARCA,Andina,Bogotá D.C.,23071,2473634,116,1,Andina,50
95025,EL RETORNO,95,GUAVIARE,Amazonia,San José del Guaviare,53460,90357,4,8,Amazonía,51
13244,EL CARMEN DE BOLIVAR,13,BOLIVAR,Caribe,Cartagena,25978,2236603,45,5,Caribe,52
94343,BARRANCO MINAS (CD.),94,GUAINIA,Orinoquia,Inírida,72238,52061,2,8,Amazonía,53
81001,ARAUCA,81,ARAUCA,Orinoquia,Arauca,23818,304978,7,7,Orinoquía,54
19392,LA SIERRA,19,CAUCA,Pacifico,Popayán,29308,1516018,41,2,Pacífico,55
05361,ITUANGO,05,ANTIOQUIA,Andina,Medellín,63612,6887306,125,4,Andina,56
27073,BAGADO,27,CHOCO,Pacifico,Quibdó,46530,553519,31,4,Pacífico,57
05034,ANDES,05,ANTIOQUIA,Andina,Medellín,63612,6887306,125,4,Andina,58
76736,SEVILLA,76,VALLE DEL CAUCA,Pacifico,Cali,22140,4589278,42,2,Pacífico,59
73555,PLANADAS,73,TOLIMA,Andina,Ibagué,23562,1346935,47,8,Andina,60
66170,DOSQUEBRADAS,66,RISARALDA,Andina,Pereira,4140,977829,14,6,Andina,61
