sk_time,sk_geografia,sk_regime,numero_afiliados,sk_affiliate
1,1,1,2194,1
1,1,2,15,2
1,1,3,233,3
1,2,1,10683,4
1,2,2,103,5
1,2,3,1064,6
1,3,1,4727,7
1,3,2,63,8
1,3,3,761,9
1,4,1,5249,10
1,4,2,131,11
1,4,3,405,12
1,5,1,4595,13
1,5,2,70,14
1,5,3,349,15
1,6,1,33275,16
1,6,2,275,17
1,6,3,839,18
1,7,1,5650,19
1,7,2,260,20
1,7,3,2506,21
1,8,1,16767,22
1,8,2,348,23
1,8,3,1305,24
1,9,1,26339,25
1,9,2,881,26
1,9,3,16777,27
1,10,1,8483,28
1,10,2,144,29
1,10,3,1176,30
1,11,1,8473,31
1,11,2,114,32
1,11,3,449,33
1,12,1,4047,34
1,12,2,39,35
1,12,3,2125,36
1,13,1,17026,37
1,13,2,301,38
1,13,3,1495,39
1,14,1,5306,40
1,14,2,48,41
1,14,3,1376,42
1,15,1,5972,43
1,15,2,60,44
1,15,3,366,45
1,16,1,24933,46
1,16,2,144,47
1,16,3,3225,48
1,17,1,2481,49
1,17,2,29,50
1,17,3,733,51
1,18,1,11177,52
1,18,2,277,53
1,18,3,2739,54
1,19,1,41934,55
1,19,2,498,56
1,19,3,2139,57
1,20,1,2384,58
1,20,2,24,59
1,20,3,259,60
1,21,1,3329,61
1,21,2,87,62
1,21,3,272,63
1,22,1,21432,64
1,22,2,420,65
1,22,3,6174,66
1,23,1,8156,67
1,23,2,188,68
1,23,3,5174,69
1,24,1,5840,70
1,24,2,3,71
1,24,3,316,72
1,25,1,16005,73
1,25,2,504,74
1,25,3,2252,75
1,26,1,17615,76
1,26,2,401,77
1,26,3,2476,78
1,27,1,5297,79
1,27,2,35,80
1,27,3,579,81
1,28,1,85912,82
1,28,2,2165,83
1,28,3,38090,84
1,29,1,4007,85
1,29,2,124,86
1,29,3,274,87
1,30,1,26,88
1,30,2,3,89
1,30,3,4,90
1,31,1,10844,91
1,31,2,145,92
1,31,3,3660,93
1,32,1,4977,94
1,32,2,202,95
1,32,3,343,96
1,33,1,2858,97
1,33,2,83,98
1,33,3,5957,99
1,34,1,44811,100
1,34,2,1245,101
1,34,3,9299,102
1,35,1,4355,103
1,35,2,100,104
1,35,3,1007,105
1,36,1,7289,106
1,36,2,99,107
1,36,3,307,108
1,37,1,3590,109
1,37,2,27,110
1,37,3,261,111
1,38,1,38138,112
1,38,2,781,113
1,38,3,4585,114
1,39,1,9113,115
1,39,2,161,116
1,39,3,443,117
1,40,1,15797,118
1,40,2,87,119
1,40,3,1090,120
1,41,1,2128,121
1,41,2,22,122
1,41,3,269,123
1,42,1,2769,124
1,42,2,51,125
