sk_time,sk_facility,sk_capacity_type,sk_geografia,capacity_amount,sk_capacity
2,1,1,1130,1,1
2,1,10,1130,1,2
2,2,2,1131,2,3
2,2,3,1131,2,4
2,2,4,1131,3,5
2,2,6,1131,2,6
2,2,7,1131,2,7
2,2,8,1131,2,8
2,2,9,1131,1,9
2,2,10,1131,9,10
2,2,11,1131,1,11
2,2,18,1131,3,12
2,3,1,1132,1,13
2,3,2,1132,1,14
2,3,3,1132,3,15
2,3,4,1132,4,16
2,3,5,1132,1,17
2,3,6,1132,2,18
2,3,7,1132,2,19
2,3,8,1132,2,20
2,3,9,1132,1,21
2,3,10,1132,1,22
2,3,11,1132,1,23
2,4,1,1133,1,24
2,4,3,1133,2,25
2,4,4,1133,3,26
2,4,6,1133,1,27
2,4,7,1133,1,28
2,4,8,1133,1,29
2,4,9,1133,1,30
2,4,10,1133,1,31
2,5,1,1134,1,32
2,5,2,1134,3,33
2,5,3,1134,13,34
2,5,4,1134,41,35
2,5,5,1134,1,36
2,5,6,1134,5,37
2,5,7,1134,11,38
2,5,8,1134,11,39
2,5,9,1134,2,40
2,5,10,1134,17,41
2,5,11,1134,1,42
2,5,13,1134,2,43
2,5,14,1134,18,44
2,5,15,1134,1,45
2,5,16,1134,2,46
2,5,17,1134,1,47
2,6,1,1135,1,48
2,6,2,1135,1,49
2,6,3,1135,2,50
2,6,4,1135,3,51
2,6,5,1135,1,52
2,6,6,1135,1,53
2,6,7,1135,1,54
2,6,8,1135,1,55
2,6,9,1135,1,56
2,6,10,1135,1,57
2,6,11,1135,1,58
2,7,12,1136,1,59
2,8,1,1134,1,60
2,8,2,1134,2,61
2,8,3,1134,2,62
2,8,4,1134,29,63
2,8,6,1134,2,64
2,8,7,1134,10,65
2,8,8,1134,10,66
2,8,9,1134,2,67
2,8,10,1134,1,68
2,8,11,1134,1,69
2,8,17,1134,1,70
2,8,18,1134,1,71
2,8,19,1134,5,72
2,9,10,1134,1,73
2,10,1,1134,1,74
2,10,10,1134,2,75
2,11,10,1134,3,76
2,12,10,1134,4,77
2,13,10,1134,2,78
2,13,12,1134,1,79
2,13,20,1134,30,80
2,13,21,1134,20,81
2,13,22,1134,30,82
2,14,1,1134,1,83
2,14,10,1134,10,84
2,15,10,1134,2,85
2,16,1,1134,1,86
2,16,10,1134,3,87
2,17,1,1134,1,88
2,17,10,1134,6,89
2,18,1,1134,1,90
2,18,10,1134,2,91
2,19,1,1134,1,92
