"Departamento","Municipio","Código prestador","Nombre prestador","nit IPS ","num digito_verificion","naturaleza","num nivel atencion","Código sede","Número sede","nom sede IPS","Gerente","Dirección","Email","Teléfono","nom grupo capacidad ","nom descripcion capacidad ","num cantidad capacidad instalada","Fecha Corte","Fuente"
"Antioquia","APARTADÓ","504512253","URAMEDICOS S.A.S.","900,497,151","1","Privada",,"504512253","01","URAMEDICOS","CLAUDIA CECILIA TRUJILLO GOMEZ","KR 98 # 103-29/37","uramedicos@gmail.com","8286090","SALAS","Procedimientos","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Antioquia","SALGAR","564204576","ESE HOSPITAL SAN JOSE","890,981,424","7","Pública","1","564204576","01","E.S.E. HOSPITAL SAN JOSE","CESAR AUGUSTO PARDO ROSAS","CL 32A # 33-04","secretaria@hsjsalgar.gov.co","8442020","CAMAS","TPR","2","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","EL ENCANTO","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9126300019","11","CENTRO DE SALUD SAN RAFAEL - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DEL ENCANTO","sanrafael@esehospitalsanrafael-leticia-amazonas.gov.co","3203016139","CAMAS","Pediátrica","3","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","EL ENCANTO","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9126300019","11","CENTRO DE SALUD SAN RAFAEL - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DEL ENCANTO","sanrafael@esehospitalsanrafael-leticia-amazonas.gov.co","3203016139","CAMAS","Adultos","4","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","EL ENCANTO","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9126300019","11","CENTRO DE SALUD SAN RAFAEL - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DEL ENCANTO","sanrafael@esehospitalsanrafael-leticia-amazonas.gov.co","3203016139","CAMAS","TPR","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","EL ENCANTO","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9126300019","11","CENTRO DE SALUD SAN RAFAEL - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DEL ENCANTO","sanrafael@esehospitalsanrafael-leticia-amazonas.gov.co","3203016139","CAMAS","Atención del Parto","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","EL ENCANTO","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9126300019","11","CENTRO DE SALUD SAN RAFAEL - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DEL ENCANTO","sanrafael@esehospitalsanrafael-leticia-amazonas.gov.co","3203016139","CAMILLAS","Observación Pediátrica","2","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","EL ENCANTO","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9126300019","11","CENTRO DE SALUD SAN RAFAEL - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DEL ENCANTO","sanrafael@esehospitalsanrafael-leticia-amazonas.gov.co","3203016139","CAMILLAS","Observación Adultos Hombres","2","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","EL ENCANTO","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9126300019","11","CENTRO DE SALUD SAN RAFAEL - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DEL ENCANTO","sanrafael@esehospitalsanrafael-leticia-amazonas.gov.co","3203016139","CAMILLAS","Observación Adultos Mujeres","2","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","EL ENCANTO","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9126300019","11","CENTRO DE SALUD SAN RAFAEL - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DEL ENCANTO","sanrafael@esehospitalsanrafael-leticia-amazonas.gov.co","3203016139","CONSULTORIOS","Urgencias","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","EL ENCANTO","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9126300019","11","CENTRO DE SALUD SAN RAFAEL - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DEL ENCANTO","sanrafael@esehospitalsanrafael-leticia-amazonas.gov.co","3203016139","CONSULTORIOS","Consulta Externa","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","EL ENCANTO","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9126300019","11","CENTRO DE SALUD SAN RAFAEL - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DEL ENCANTO","sanrafael@esehospitalsanrafael-leticia-amazonas.gov.co","3203016139","SALAS","Partos","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","EL ENCANTO","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9126300019","11","CENTRO DE SALUD SAN RAFAEL - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DEL ENCANTO","sanrafael@esehospitalsanrafael-leticia-amazonas.gov.co","3203016139","SALAS","Procedimientos","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","LA CHORRERA","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9140500019","14","CENTRO DE SALUD DE LA CHORRERA- E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DE LA CHORRERA","chorrera@esehospitalsanrafael-leticia-amazonas.gov.co","3203016132","CAMAS","Pediátrica","2","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","LA CHORRERA","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9140500019","14","CENTRO DE SALUD DE LA CHORRERA- E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DE LA CHORRERA","chorrera@esehospitalsanrafael-leticia-amazonas.gov.co","3203016132","CAMAS","Adultos","3","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","LA CHORRERA","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9140500019","14","CENTRO DE SALUD DE LA CHORRERA- E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DE LA CHORRERA","chorrera@esehospitalsanrafael-leticia-amazonas.gov.co","3203016132","CAMILLAS","Observación Pediátrica","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","LA CHORRERA","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9140500019","14","CENTRO DE SALUD DE LA CHORRERA- E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DE LA CHORRERA","chorrera@esehospitalsanrafael-leticia-amazonas.gov.co","3203016132","CAMILLAS","Observación Adultos Hombres","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","LETICIA","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9100100019","01","E.S.E. HOSPITAL SAN RAFAEL","SAIDA VIVIANA HERREÑO PRIETO","CRA 10 # 13-78","calidad@esehospitalsanrafael-leticia-amazonas.gov.co",,"CAMAS","Pediátrica","13","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","LA CHORRERA","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9140500019","14","CENTRO DE SALUD DE LA CHORRERA- E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DE LA CHORRERA","chorrera@esehospitalsanrafael-leticia-amazonas.gov.co","3203016132","CAMILLAS","Observación Adultos Mujeres","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","LA CHORRERA","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9140500019","14","CENTRO DE SALUD DE LA CHORRERA- E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DE LA CHORRERA","chorrera@esehospitalsanrafael-leticia-amazonas.gov.co","3203016132","CONSULTORIOS","Urgencias","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","LA CHORRERA","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9140500019","14","CENTRO DE SALUD DE LA CHORRERA- E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DE LA CHORRERA","chorrera@esehospitalsanrafael-leticia-amazonas.gov.co","3203016132","CONSULTORIOS","Consulta Externa","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","LA CHORRERA","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9140500019","14","CENTRO DE SALUD DE LA CHORRERA- E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DE LA CHORRERA","chorrera@esehospitalsanrafael-leticia-amazonas.gov.co","3203016132","SALAS","Procedimientos","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","LA PEDRERA","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9140700019","15","CENTRO DE SALUD DE LA PEDRERA - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DE LA PEDRERA","pedrera@esehospitalsanrafael-leticia-amazonas.gov.co","3203014882","CAMAS","Pediátrica","2","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","LA PEDRERA","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9140700019","15","CENTRO DE SALUD DE LA PEDRERA - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DE LA PEDRERA","pedrera@esehospitalsanrafael-leticia-amazonas.gov.co","3203014882","CAMAS","Adultos","3","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","LA PEDRERA","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9140700019","15","CENTRO DE SALUD DE LA PEDRERA - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DE LA PEDRERA","pedrera@esehospitalsanrafael-leticia-amazonas.gov.co","3203014882","CAMAS","TPR","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
"Amazonas","LA PEDRERA","9100100019","E.S.E. HOSPITAL SAN RAFAEL DE LETICIA","838,000,096","7","Pública","2","9140700019","15","CENTRO DE SALUD DE LA PEDRERA - E.S.E HOSPITAL SAN RAFAEL DE LETICIA","SAIDA VIVIANA HERREÑO PRIETO","CORREGIMIENTO DE LA PEDRERA","pedrera@esehospitalsanrafael-leticia-amazonas.gov.co","3203014882","CAMAS","Atención del Parto","1","Fecha corte REPS: Nov  5 2022  1:37PM","Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS."
